total_timesteps,value_loss,policy_entropy,clipfrac,serial_timesteps,time_elapsed,policy_loss,approxkl,explained_variance,fps,n_updates,ep_len_mean,ep_reward_mean
365568,0.01482768,0.029318616,0.0029296875,22848,65.57074093818665,-0.0013109786,0.00035946077,0.9909167131409049,7484,1428,126.52,-126.52
365824,0.0071499147,0.0474578,0.0043945312,22864,65.60521173477173,-0.0026194332,0.00042422354,0.9962397150229663,7827,1429,126.13,-126.13
366080,0.015554531,0.048699424,0.0068359375,22880,65.63816809654236,-0.00094515586,0.00033903823,0.98494194727391,7852,1430,127.25,-127.25
366336,0.0071659093,0.05452628,0.0014648438,22896,65.67104482650757,-0.00032462052,0.0001982189,0.9873862797394395,7889,1431,126.91,-126.91
366592,0.007142954,0.0370441,0.0014648438,22912,65.70375180244446,-0.0004880356,9.2461894e-05,0.98904331587255,7823,1432,126.91,-126.91
366848,0.011275699,0.025501665,0.0,22928,65.73671197891235,-0.00065098354,6.047809e-05,0.9832831174135208,7881,1433,126.61,-126.61
367104,0.021782627,0.022730755,0.0009765625,22944,65.7694787979126,0.00018881069,0.00013555537,0.9790026899427176,7959,1434,126.6,-126.6
367360,0.031476155,0.019800771,0.0,22960,65.8019278049469,-1.91133e-05,1.0488459e-06,0.9753184467554092,7854,1435,126.91,-126.91
367616,0.012311582,0.034483377,0.0,22976,65.83478093147278,-0.0002509259,4.370603e-05,0.9931330215185881,7809,1436,126.93,-126.93
367872,0.0064192354,0.06421928,0.0024414062,22992,65.8678629398346,-0.00048675307,0.00021080227,0.9949540542438626,7691,1437,126.66,-126.66
368128,0.00996513,0.04750313,0.0,23008,65.90139889717102,-0.00028793636,5.0006867e-05,0.9879565574228764,7926,1438,127.13,-127.13
368384,0.009998178,0.03946845,0.00048828125,23024,65.93394684791565,-0.0006009606,0.00013222972,0.9880237672477961,7934,1439,127.13,-127.13
368640,0.014243483,0.03232946,0.0009765625,23040,65.966472864151,-0.00013916806,9.666751e-05,0.9843162260949612,7920,1440,127.07,-127.07
368896,0.011746831,0.03310929,0.0014648438,23056,65.99905776977539,-0.0002789981,9.1609516e-05,0.9912449410185218,8029,1441,126.28,-126.28
369152,0.012997456,0.01772049,0.0,23072,66.03122091293335,-7.472356e-05,4.7654612e-05,0.9896286781877279,7842,1442,125.53,-125.53
369408,0.030162668,0.0346316,0.0009765625,23088,66.0641188621521,-0.0008684313,9.506258e-05,0.9766939859837294,7714,1443,125.23,-125.23
369664,0.014831743,0.032402955,0.0,23104,66.09757494926453,0.00023321423,5.215918e-05,0.9885116806253791,7860,1444,125.25,-125.25
369920,0.012923128,0.031465083,0.00390625,23120,66.13050389289856,-0.00053271593,0.00045962003,0.9883579658344388,7890,1445,125.62,-125.62
370176,0.0069977758,0.046888746,0.005859375,23136,66.16326975822449,-0.0018251352,0.00040033506,0.9931264901533723,587,1446,126.41,-126.41
370432,0.010796127,0.026157636,0.0014648438,23152,66.5992157459259,-0.00039300462,0.00014201374,0.9852703139185905,7730,1447,126.41,-126.41
370688,0.011412073,0.038055595,0.008300781,23168,66.63263893127441,-0.0007597755,0.0006727792,0.9871253576129675,7849,1448,126.54,-126.54
370944,0.008742155,0.023104608,0.0,23184,66.66551494598389,-0.00040789368,1.7931567e-05,0.9936717078089714,7983,1449,126.21,-126.21
371200,0.016534196,0.049193464,0.0,23200,66.69789481163025,-0.0002530443,0.00013479944,0.9906998826190829,8079,1450,127.08,-127.08
371456,0.011137618,0.04288073,0.0,23216,66.72986483573914,-0.00066345494,2.432094e-05,0.9919521128758788,7910,1451,127.09,-127.09
371712,0.026981933,0.047667462,0.00048828125,23232,66.76251173019409,-4.8314163e-05,6.765051e-05,0.9787427689880133,7024,1452,127.04,-127.04
371968,0.006299492,0.044154514,0.0053710938,23248,66.79924488067627,-0.0013154515,0.0005633469,0.9913919661194086,7867,1453,126.68,-126.68
372224,0.01169271,0.048474696,0.0034179688,23264,66.83212375640869,-0.0016302378,0.0005227648,0.9834780544042587,7108,1454,126.68,-126.68
372480,0.040651586,0.023978386,0.0043945312,23280,66.86848306655884,-0.0005684779,0.0003213135,0.9654238112270832,6704,1455,126.25,-126.25
